书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
乱世成圣,签约作品,异界大陆,142,1420,30354,275039,301,1284,72104,7342672,710
我主宰了娱乐圈,签约作品,娱乐明星,8,77,8286,101667,0,2,208,195111,10
我主宰了娱乐圈,签约作品,娱乐明星,8,77,8286,101667,0,2,208,195111,10
起源3尘埃,驻站作品,末世危机,4,19,18263,172723,0,0,35,269359,29
命运落寂,专属作品,现实题材,13,118,5328,29268,0,0,738,285469,目前在拼命写作中
赤子丹心剑,驻站作品,历史传奇,17,24,28287,76647,1,1,24,87099,2
雕刻年轮,驻站作品,异术超能,4,15,8443,32388,0,0,15,26389,7
暗林空间,授权作品,都市异能,5,26,14656,98628,0,0,208,258178,4
直播：我在异世当领主,专属作品,异界大陆,5,5,2797,2797,0,0,5,2797,1
恋龙物语,驻站作品,异界大陆,0,23,2654,10963,0,0,158,50990,目前在拼命写作中
一个人的流浪,驻站作品,现实题材,6,6,4186,4186,0,0,6,4186,2
霓虹灯下黑,驻站作品,都市异能,6,6,7858,10533,0,0,6,10529,4
收女仆从十连抽开始,签约作品,校园风云,40,550,22176,220661,0,0,831,377692,27
天丹求仙录,驻站作品,奇幻修真,11,41,5720,22835,0,0,58,31974,10
诉剑,驻站作品,古典仙侠,3,3,1141,1141,0,0,3,1141,1
武至仙穹,驻站作品,东方玄幻,25,25,7340,7340,0,0,25,7340,2
盖世之主,驻站作品,异术超能,11,39,39139,160428,0,0,39,161309,12
都市之仙帝赘婿,签约作品,都市重生,43,338,12070,118260,0,10,4320,871243,141
阴间杂货铺,签约作品,民间奇谈,56,377,4279,63748,21,93,6341,419102,1
七星精灵,签约作品,未来幻想,22,185,6338,56300,0,53,418,89307,40
一道青焰,签约作品,东方玄幻,11,166,7414,56364,0,9,188,130707,10
全面攻略系统,驻站作品,都市生活,3,10,12029,20095,0,0,10,20095,5
对不起我只想活下去,驻站作品,异术超能,5,5,6169,6169,0,0,5,6169,2
暗凯纪元,驻站作品,古武机甲,4,31,2990,35704,0,0,40,42136,1
绝世小神农,签约作品,乡村乡土,8,22,4081,8176,0,0,22,8176,1
创国征战演义,驻站作品,古典仙侠,1,8,3901,20752,0,0,31,48137,1
一品枭雄,签约作品,都市生活,17,89,16087,70943,0,0,89,70775,15
踏遍人间,驻站作品,东方玄幻,4,4,11065,11065,0,0,4,11065,1
我和美女主播的荒岛直播,签约作品,娱乐明星,43,409,24823,219086,0,14,2118,677903,85
抗战兄弟行,授权作品,军旅生涯,24,168,14375,126199,0,0,340,384231,21
开局：一元秒杀保时捷,签约作品,都市异能,294,449,15377,140335,0,0,482,207147,35
乱世：开局截胡战神未婚妻,签约作品,架空历史,49,460,6096,103475,11,92,642,144528,35
大唐：神级熊孩子,签约作品,历史穿越,1028,7708,18628,143307,16,275,8002,228787,39
