书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
源起仙路,驻站作品,古典仙侠,10,24,3295,16782,0,0,24,22289,目前在拼命写作中
天呐，我变成了哈士奇！,签约作品,奇幻修真,45,444,26748,215651,0,15,1844,671492,100
你们争霸我种田,签约作品,西方奇幻,12,96,10469,82624,21,61,130,128898,35
佛缘阴阳,驻站作品,奇幻修真,4,4,2419,2419,0,0,4,2425,目前在拼命写作中
时光游戏坊,签约作品,未来幻想,47,239,12191,82419,23,114,7129,1313915,416
落魄后的重生,驻站作品,都市生活,14,26,12595,26836,0,0,26,27017,5
上门龙婿：我的傻白甜老婆,签约作品,都市生活,90,594,6255,162205,0,1,650,209065,31
在我背后吃灰吧,签约作品,东方玄幻,7,37,9244,60830,0,0,61,99896,43
重生之创业人生,签约作品,都市生活,1869,17211,23702,182956,7,51,332703,3861268,561
武神归位,驻站作品,古典仙侠,3,22,9249,30666,0,0,22,31037,4
金牌武婿,签约作品,东方玄幻,19,185,20519,123140,21,42,1350,725600,106
西游：这个猴子有点强,签约作品,东方玄幻,120,433,29895,244527,0,0,617,299048,41
网游之法神崛起,签约作品,虚拟网游,134,1160,19142,133949,0,21,3680,497258,105
魔法世界的魔法书,驻站作品,异界大陆,13,13,7297,7297,0,0,13,9600,3
地狱锁魂者,授权作品,恐怖悬疑,9,11,13184,15315,0,0,11,15315,4
神树领主,签约作品,东方玄幻,108,725,17824,140508,106,537,58933,1862971,448
风行九域,驻站作品,东方玄幻,23,29,15254,18361,0,0,29,18371,4
僵尸宠物,驻站作品,东方玄幻,21,21,14758,14758,21,21,21,12499,3
逆世之行,驻站作品,东方玄幻,7,13,23058,31426,0,0,13,31426,4
山村棺材铺,签约作品,恐怖悬疑,16,142,22458,158859,0,0,147,161579,25
邪的女友,驻站作品,侦探推理,26,26,14360,14360,0,0,26,16310,3
神剑飞仙,专属作品,国术古武,3,29,10251,62497,0,0,122,253586,4
我就是豪门,签约作品,都市生活,14,117,28477,183024,0,0,3507,834615,20
成首富从享受生活开始,签约作品,都市生活,37,487,14817,111414,18,69,2193,336091,37
人过三十,签约作品,现实题材,82,475,14825,97487,0,21,580,148709,48
遥控器之精神控制,驻站作品,未来幻想,10,70,17092,79616,0,2,70,79621,21
网游末世：神宠融合系统,签约作品,末世危机,75,156,29420,154870,0,6,178,173438,34
洪荒妖尊,授权作品,异界大陆,25,91,15010,60886,5,8,553,346573,12
我在天庭收垃圾,签约作品,都市异能,110,1113,8179,104578,0,0,3850,678293,15
凡途归真之紫琊传,签约作品,古典仙侠,27,236,34583,233743,0,0,12803,1893672,28
人过三十,签约作品,现实题材,82,475,14825,97487,0,21,580,148709,48
遥控器之精神控制,驻站作品,未来幻想,10,70,17092,79616,0,2,70,79621,21
网游末世：神宠融合系统,签约作品,末世危机,75,156,29420,154870,0,6,178,173438,34
洪荒妖尊,授权作品,异界大陆,25,91,15010,60886,5,8,553,346573,12
我在天庭收垃圾,签约作品,都市异能,110,1113,8179,104578,0,0,3850,678293,15
凡途归真之紫琊传,签约作品,古典仙侠,27,236,34583,233743,0,0,12803,1893672,28
荒岛登天记,驻站作品,未来幻想,2,10,8170,20104,0,0,48,115222,目前在拼命写作中
因为怕痛所以全点防御力了,签约作品,东方玄幻,561,2237,19632,106440,357,1475,2607,124927,31
上门狂婿,签约作品,都市异能,623,5570,25019,205225,195,810,141592,2234647,289
女总裁的全能兵王,签约作品,都市激战,25779,204899,21291,180157,2045,13788,9390408,10784348,823
人到四十,签约作品,都市生活,181,1194,21622,175576,85,249,95108,611610,87
网游之全球降临,签约作品,虚拟网游,1441,4979,20825,154026,7,43,6910,271006,24
灰之网,驻站作品,都市生活,67,204,12261,126669,40,119,204,114427,12
神医佳婿,签约作品,都市生活,56,507,14278,109719,0,0,583,179123,40
这个女婿有点邪,签约作品,民间奇谈,31,530,20413,132392,7,70,809,331375,64
混世农民工,签约作品,都市生活,215,1362,24447,168105,43,279,58165,1890371,302
群穿明末之荒海平波纪,签约作品,历史穿越,75,527,19879,132530,0,0,4533,1985920,149
诸天功德穿梭,签约作品,时空穿梭,164,1205,12149,82906,0,0,4864,499322,134
斩月,签约作品,游戏生涯,37660,253256,43349,250019,12284,67659,3006373,2481649,271
鬼主降临,专属作品,东方玄幻,3,24,6214,53449,0,0,27,62061,12
寒霜传,签约作品,国术古武,15,124,12591,89934,7,28,2431,1337105,34
p城之主,驻站作品,末世危机,4,4,4997,4997,0,0,4,4997,1
双生魂殇,驻站作品,东方玄幻,6,6,38245,38245,0,0,6,38245,1
尘封九界,签约作品,东方玄幻,84,143,17139,102571,2,3,175,163445,52
仙储传说,驻站作品,东方玄幻,4,45,14124,91662,0,0,45,79491,20
重生完美时代,签约作品,都市重生,36,331,22186,60566,0,0,500,121226,9
飞刀战神在都市,签约作品,都市激战,27,260,12129,82388,7,28,42575,2817982,885
冷月流霜恩仇记,驻站作品,传统武侠,3,34,8670,55980,0,0,34,55982,24
我的世界：末日方块系统,签约作品,末世危机,370,571,8097,57940,0,217,746,129575,21
变身无限有道,驻站作品,时空穿梭,23,78,8788,38297,21,65,78,38297,11
人过三十,签约作品,现实题材,82,475,14825,97487,0,21,580,148709,48
遥控器之精神控制,驻站作品,未来幻想,10,70,17092,79616,0,2,70,79621,21
网游末世：神宠融合系统,签约作品,末世危机,75,156,29420,154870,0,6,178,173438,34
洪荒妖尊,授权作品,异界大陆,25,91,15010,60886,5,8,553,346573,12
我在天庭收垃圾,签约作品,都市异能,110,1113,8179,104578,0,0,3850,678293,15
凡途归真之紫琊传,签约作品,古典仙侠,27,236,34583,233743,0,0,12803,1893672,28
荒岛登天记,驻站作品,未来幻想,2,10,8170,20104,0,0,48,115222,目前在拼命写作中
因为怕痛所以全点防御力了,签约作品,东方玄幻,561,2237,19632,106440,357,1475,2607,124927,31
上门狂婿,签约作品,都市异能,623,5570,25019,205225,195,810,141592,2234647,289
女总裁的全能兵王,签约作品,都市激战,25779,204899,21291,180157,2045,13788,9390408,10784348,823
人到四十,签约作品,都市生活,181,1194,21622,175576,85,249,95108,611610,87
网游之全球降临,签约作品,虚拟网游,1441,4979,20825,154026,7,43,6910,271006,24
灰之网,驻站作品,都市生活,67,204,12261,126669,40,119,204,114427,12
神医佳婿,签约作品,都市生活,56,507,14278,109719,0,0,583,179123,40
这个女婿有点邪,签约作品,民间奇谈,31,530,20413,132392,7,70,809,331375,64
混世农民工,签约作品,都市生活,215,1362,24447,168105,43,279,58165,1890371,302
群穿明末之荒海平波纪,签约作品,历史穿越,75,527,19879,132530,0,0,4533,1985920,149
诸天功德穿梭,签约作品,时空穿梭,164,1205,12149,82906,0,0,4864,499322,134
斩月,签约作品,游戏生涯,37660,253256,43349,250019,12284,67659,3006373,2481649,271
鬼主降临,专属作品,东方玄幻,3,24,6214,53449,0,0,27,62061,12
寒霜传,签约作品,国术古武,15,124,12591,89934,7,28,2431,1337105,34
p城之主,驻站作品,末世危机,4,4,4997,4997,0,0,4,4997,1
双生魂殇,驻站作品,东方玄幻,6,6,38245,38245,0,0,6,38245,1
尘封九界,签约作品,东方玄幻,84,143,17139,102571,2,3,175,163445,52
仙储传说,驻站作品,东方玄幻,4,45,14124,91662,0,0,45,79491,20
重生完美时代,签约作品,都市重生,36,331,22186,60566,0,0,500,121226,9
飞刀战神在都市,签约作品,都市激战,27,260,12129,82388,7,28,42575,2817982,885
冷月流霜恩仇记,驻站作品,传统武侠,3,34,8670,55980,0,0,34,55982,24
我的世界：末日方块系统,签约作品,末世危机,370,571,8097,57940,0,217,746,129575,21
变身无限有道,驻站作品,时空穿梭,23,78,8788,38297,21,65,78,38297,11
魔法世界的魔法书,驻站作品,异界大陆,13,13,9600,9600,0,0,13,9600,3
地狱锁魂者,授权作品,恐怖悬疑,9,11,13184,15315,0,0,11,15315,4
神树领主,签约作品,东方玄幻,108,725,17824,140508,106,537,58933,1862971,448
风行九域,驻站作品,东方玄幻,23,29,15254,18361,0,0,29,18371,4
僵尸宠物,驻站作品,东方玄幻,21,21,14758,14758,22,22,21,12499,3
逆世之行,驻站作品,东方玄幻,7,13,23058,31426,0,0,13,31426,4
山村棺材铺,签约作品,恐怖悬疑,16,142,22458,158859,0,0,147,161579,25
邪的女友,驻站作品,侦探推理,26,26,14360,14360,0,0,26,16310,3
神剑飞仙,专属作品,国术古武,3,29,10251,62497,0,0,122,253586,4
我就是豪门,签约作品,都市生活,14,117,28477,183024,0,0,3507,834615,20
成首富从享受生活开始,签约作品,都市生活,37,487,14817,111414,18,69,2193,336091,37
人过三十,签约作品,现实题材,82,475,14825,97487,0,21,580,148709,48
遥控器之精神控制,驻站作品,未来幻想,10,70,17092,79616,0,2,70,79621,21
网游末世：神宠融合系统,签约作品,末世危机,75,156,29420,154870,0,6,178,173438,34
洪荒妖尊,授权作品,异界大陆,25,91,15010,60886,5,8,553,346573,12
我在天庭收垃圾,签约作品,都市异能,110,1113,8179,104578,0,0,3850,678293,15
凡途归真之紫琊传,签约作品,古典仙侠,27,236,34583,233743,0,0,12803,1893672,28
荒岛登天记,驻站作品,未来幻想,2,10,8170,20104,0,0,48,115222,目前在拼命写作中
因为怕痛所以全点防御力了,签约作品,东方玄幻,561,2237,19632,106440,357,1475,2607,124927,31
上门狂婿,签约作品,都市异能,623,5570,25019,205225,195,810,141592,2234647,289
女总裁的全能兵王,签约作品,都市激战,25779,204899,21291,180157,2045,13788,9390408,10784348,823
人到四十,签约作品,都市生活,181,1194,21622,175576,85,249,95108,611610,87
网游之全球降临,签约作品,虚拟网游,1441,4979,20825,154026,7,43,6910,271006,24
神医佳婿,签约作品,都市生活,56,507,12207,107648,0,0,583,179123,40
灰之网,驻站作品,都市生活,67,204,12261,126669,40,119,204,114427,12
这个女婿有点邪,签约作品,民间奇谈,31,530,20413,132392,7,70,809,331375,64
混世农民工,签约作品,都市生活,215,1362,24447,168105,43,279,58165,1890371,302
诸天功德穿梭,签约作品,时空穿梭,164,1205,12149,82906,0,0,4864,499322,134
群穿明末之荒海平波纪,签约作品,历史穿越,75,527,19879,132530,0,0,4533,1985920,149
斩月,签约作品,游戏生涯,37660,253256,43349,250019,12309,67684,3006373,2481649,271
群穿明末之荒海平波纪,签约作品,历史穿越,75,527,19879,132530,0,0,4533,1985920,149
诸天功德穿梭,签约作品,时空穿梭,164,1205,12149,82906,0,0,4864,499322,134
斩月,签约作品,游戏生涯,37660,253256,43349,250019,12309,67684,3006373,2481649,271
鬼主降临,专属作品,东方玄幻,3,24,6214,53449,0,0,27,62061,12
寒霜传,签约作品,国术古武,15,124,12591,89934,7,28,2431,1337105,34
p城之主,驻站作品,末世危机,4,4,4997,4997,0,0,4,4997,1
双生魂殇,驻站作品,东方玄幻,6,6,38245,38245,0,0,6,38245,1
尘封九界,签约作品,东方玄幻,84,143,17139,102571,2,3,175,163445,52
仙储传说,驻站作品,东方玄幻,4,45,14124,91662,0,0,45,79500,20
重生完美时代,签约作品,都市重生,36,331,22186,60566,0,0,500,121226,9
飞刀战神在都市,签约作品,都市激战,27,260,12129,82388,7,28,42575,2817982,885
冷月流霜恩仇记,驻站作品,传统武侠,3,34,8670,55980,0,0,34,55982,24
我的世界：末日方块系统,签约作品,末世危机,370,571,8097,57940,0,217,746,129575,21
变身无限有道,驻站作品,时空穿梭,23,78,8788,38297,21,65,78,38297,11
空时领域,签约作品,异术超能,17,252,9193,66153,60,301,886,237915,76
混蛋天神,驻站作品,爆笑幽默,13,68,12638,41730,0,1,68,41345,11
世纪末开始的复国之路,签约作品,异术超能,15,99,7539,116059,0,0,151,279605,17
洪荒明月,签约作品,历史传奇,41,382,22354,163496,0,19,4377,1659478,330
女总裁的霸王医婿,签约作品,都市生活,269,3540,14559,128115,0,15,10123,618146,80
阵盘大世界,专属作品,都市重生,4,21,14217,100591,0,0,35,130033,33
星宿符文,签约作品,东方玄幻,5,26,17805,123126,0,0,375,653337,32
七日大逃杀,专属作品,现实题材,2,2,26552,26552,0,0,2,26552,目前在拼命写作中
惜云,专属作品,异术超能,1,1,1987,1987,0,0,1,2018,目前在拼命写作中
仙婿无双,签约作品,都市重生,1316,6430,21855,164790,103,482,64622,1312491,189
神级大明星,签约作品,都市异能,211,1936,40737,200884,0,0,89696,1931207,453
天宇长生,专属作品,东方玄幻,0,22,5143,54328,0,0,60,94978,43
七曜冥王,驻站作品,东方玄幻,8,72,25432,303208,0,0,114,598516,39
这个小宝很纠结,驻站作品,历史武侠,0,18,17407,150258,0,0,18,150166,26
弹痕之兵王回归,驻站作品,战争幻想,10,62,1,413,0,3,153,28619,目前在拼命写作中
日常系顶级神豪,签约作品,都市生活,44,165,39077,128780,0,0,165,128782,10
战神霸婿,签约作品,都市生活,349,10265,42579,277795,0,144,16193,763247,98
董秘成长记,驻站作品,职场励志,4,4,35665,35665,0,0,4,35665,2
赛尔号之梦幻纪元,驻站作品,灵魂转换,366,3291,7491,82527,0,0,152284,2778581,213
开局一只鸡，无敌靠签到,签约作品,异界大陆,4264,26889,30524,219394,0,28,38482,949659,104
怪谈之主,驻站作品,恐怖悬疑,5,17,16671,62186,0,0,17,62185,6
暗界岛,驻站作品,异术超能,11,11,16709,16709,0,0,11,16709,3
斗罗之变身九尾神狐,驻站作品,异界大陆,16,89,8729,41172,0,0,89,41172,14
都市之再世战神,签约作品,都市重生,55,1951,25926,175509,0,0,2015,301253,45
华夏神话宇宙,驻站作品,东方玄幻,17,61,13000,91740,0,0,711,772789,112
枕上花,驻站作品,探险揭秘,0,0,3117,3117,0,0,0,3117,目前在拼命写作中
天元帝国,签约作品,西方奇幻,10,92,12171,81814,25,101,1714,1185016,309
我真没想开挂啊,签约作品,都市异能,5,88,24825,167773,0,0,187,240856,38
网游之横扫八方,签约作品,虚拟网游,19,24,25024,25024,0,0,5200,260537,3
最强王者系统,签约作品,异界大陆,253,1829,33876,201208,240,692,4107,301128,36
仙途妙妙,驻站作品,奇幻修真,6,6,3965,3965,0,0,6,3965,1
从一条蛇吞噬进化,签约作品,都市异能,356,9195,20588,205812,27,195,17264,406060,46
天尊剑道,驻站作品,奇幻修真,5,5,2588,2588,0,0,5,2587,1
诡录夜谈,驻站作品,民间奇谈,14,14,6304,6341,0,0,14,8806,4
赚钱领主,驻站作品,虚拟网游,8,8,6855,6855,0,0,8,6857,1
做首富从捡宝箱开始,签约作品,都市异能,2771,25558,28813,169807,539,2648,175572,1373025,206
魔王转生战记,驻站作品,宅系小说,16,75,8195,50514,0,0,9837,1544248,4
掌控天下之灾星降世,驻站作品,架空历史,9,19,10032,16012,0,0,19,16099,5
九神启世,驻站作品,东方玄幻,12,24,12646,28215,0,0,456,76159,4
破梦者,签约作品,都市重生,203,1149,8961,62702,435,3571,152709,3682310,121
韦小宝纵横花都,签约作品,都市重生,81,2290,29658,231106,0,7,2425,431054,40
从毒开始,授权作品,异界大陆,6,6,6255,6255,0,0,6,6331,1
我的天劫咒,驻站作品,异界大陆,6,6,3930,3930,0,0,6,3930,1
凡之帝,签约作品,异世争霸,16,73,12290,54947,7,70,659,214985,31
网游之无痕剑诀,签约作品,游戏生涯,53,426,12934,88035,81,475,3979,503405,143
我在荒岛创造一个文明,签约作品,进化变异,636,5021,16698,112023,0,68,54429,914917,177
纯情武神,驻站作品,异界大陆,6,11,13909,15887,0,0,11,15887,4
大系统为王,驻站作品,异术超能,12,12,32075,32075,0,0,12,32075,3
我，娱乐圈的王者,签约作品,娱乐明星,78,502,20821,122897,140,658,502,125171,22
转生手册,驻站作品,恐怖悬疑,0,0,3126,3126,0,0,0,3126,目前在拼命写作中
重生2010,签约作品,都市重生,52,311,5128,66895,46,210,1114,216167,目前在拼命写作中
狂医豪婿,签约作品,都市生活,368,2945,36720,235188,36,194,46439,1254343,162
我的世界与逃少世界,专属作品,游戏异界,14,38,3462,17566,0,0,84,48135,目前在拼命写作中
极品赘婿奶爸,签约作品,都市生活,16,138,16113,104700,0,1,5273,985492,3
奇怪的嫌疑人,签约作品,都市异能,120,1114,15412,123639,0,107,6372,481611,106
我真没想成精啊,驻站作品,都市异能,0,0,2427,2427,0,0,0,2427,目前在拼命写作中
我要打怪升级,驻站作品,游戏异界,8,20,9756,22648,0,0,20,23415,6
谁与争锋之勇者无敌,驻站作品,都市生活,4,25,7371,30548,0,0,196,63857,2
三国：开局系统逼我娶貂蝉,签约作品,历史穿越,33,159,15126,73148,0,1,570,64761,16
契御,驻站作品,异界大陆,4,44,3236,37107,7,63,85,92712,目前在拼命写作中
我在末世有个鱼塘,签约作品,末世危机,116,970,30723,229638,8,46,1263,429839,45
赵老翰在四平街传奇,驻站作品,商业大亨,4,4,9315,9315,0,0,4,9315,目前在拼命写作中
长剑破壁,签约作品,历史武侠,5,67,11793,60473,0,0,222,191865,7
叶儿,签约作品,现实题材,4,51,6737,58174,0,0,540,177106,1
青武传奇,驻站作品,异术超能,12,83,10254,125616,0,1,83,125895,26
镇国天医,驻站作品,都市生活,10,10,4671,4671,0,0,10,4671,1
紫坛记,签约作品,奇幻修真,38,221,12181,82410,0,0,3138,940168,118
谎言至上何为天堂,驻站作品,东方玄幻,7,21,14281,38677,0,0,21,38677,9
护花至尊戒指,驻站作品,都市生活,1,13,2214,8667,0,0,1199,50251,目前在拼命写作中
七色光莲影仙子,专属作品,东方玄幻,11,11,24628,24628,0,0,11,24628,3
时间轮回节点改,驻站作品,进化变异,1,4,5856,21507,0,0,33,102035,目前在拼命写作中
异界这世界我说了算,驻站作品,奇幻修真,15,15,32615,32615,0,0,15,32615,2
禁区猎人,签约作品,都市异能,1283,11219,14006,100331,148,1055,402553,2288221,4
猎魂修罗,签约作品,异世争霸,84,648,34225,247198,140,506,4063,555982,81
灵能主宰,驻站作品,异术超能,8,70,10016,82516,0,0,80,105622,30
举国随我攻入神魔世界,签约作品,末世危机,626,2163,26287,149843,6,10,2163,149712,17
末世之云顶召唤师,签约作品,异界大陆,19,142,21152,117449,0,14,3442,626880,139
蛮横的屠夫,签约作品,奇幻修真,45,244,15634,86097,29,194,7683,1173794,201
黑丛林特遣队,驻站作品,军旅生涯,27,27,8201,8201,1,1,27,10031,1
盖林的救赎,驻站作品,宅系小说,2,14,1752,4084,0,0,14,4084,目前在拼命写作中
问道长生录,签约作品,奇幻修真,56,496,12327,83054,21,72,604,183629,56
镇鬼高校之八宫蛇影,签约作品,东方玄幻,113,798,13184,85529,324,1966,9514,1389502,328
黄粱游梦,驻站作品,东方玄幻,16,16,41519,41519,0,0,16,41518,2
傲意天途,签约作品,都市异能,8,99,13470,138600,0,0,238,494624,33
我就是侠客,驻站作品,奇幻修真,2,34,8768,27764,0,0,34,27767,10
小马宝莉自由之翼,驻站作品,男生同人,40,164,5004,14165,0,0,2566,239406,目前在拼命写作中
植物人和僵尸的约会,签约作品,游戏生涯,6,49,440,28629,0,0,438,127305,目前在拼命写作中
网游进化成最终boss,驻站作品,虚拟网游,23,23,33367,33367,0,0,23,33367,2
无敌战王,签约作品,都市激战,16,45,8552,63175,0,0,56,84461,20
慕容金刀,签约作品,奇幻修真,79,519,1472,1472,0,0,3641,223603,目前在拼命写作中
灵能领域,驻站作品,都市异能,17,17,16617,16617,0,0,17,16619,3
穿越从无敌开始,签约作品,异界大陆,77,492,20774,138402,86,339,4270,1295788,166
绿叶白纸,驻站作品,现实题材,3,3,7293,7293,0,0,3,7293,目前在拼命写作中
仙域星门,驻站作品,奇幻修真,0,0,6806,6806,0,0,0,3455,目前在拼命写作中
神尊之觉醒,驻站作品,东方玄幻,21,21,63154,63154,2,2,21,63155,3
此刻，我为华夏守护神,签约作品,都市重生,50,104,21027,35996,33,63,104,37959,7
主角是个小透明,签约作品,都市生活,12,659,16616,127001,23,100,942,327488,64
我摊牌了，我比以前更妖孽,签约作品,东方玄幻,18,153,11902,87600,2,23,371,189477,51
祭仙人,专属作品,异界大陆,2,9,12543,37557,0,0,9,37557,9
昆仑风云,驻站作品,古典仙侠,30,37,10023,17190,6,6,37,17190,5
网游：我的技能带特效,签约作品,虚拟网游,26,26,27154,27154,0,0,26,27154,3
娱乐超级奶爸,签约作品,娱乐明星,1255,9693,22427,157652,184,965,770611,5581203,367
不见光明,驻站作品,侦探推理,7,25,5898,9327,0,0,25,9327,6
玄科之主,驻站作品,异术超能,3,27,8301,18385,0,0,27,15622,目前在拼命写作中
望江水旭日东升,驻站作品,商业大亨,3,3,2054,2054,0,0,3,2054,目前在拼命写作中
神级上门女婿,签约作品,都市异能,84,624,27292,220877,48,215,4226,488684,86
昆仑风云,驻站作品,古典仙侠,30,37,10023,17190,6,6,37,17190,5
网游：我的技能带特效,签约作品,虚拟网游,26,26,27154,27154,0,0,26,27154,3
娱乐超级奶爸,签约作品,娱乐明星,1255,9693,22427,157652,184,965,770611,5581203,367
不见光明,驻站作品,侦探推理,7,25,5898,9327,0,0,25,9327,6
玄科之主,驻站作品,异术超能,3,27,8301,18385,0,0,27,15622,目前在拼命写作中
望江水旭日东升,驻站作品,商业大亨,3,3,2054,2054,0,0,3,2054,目前在拼命写作中
神级上门女婿,签约作品,都市异能,84,624,27292,220877,48,215,4226,488684,86
超级农场主,签约作品,乡村乡土,249,1319,21223,163156,0,1,7829,579693,106
不朽鸿蒙录,授权作品,异世争霸,6,6,4231,4231,0,0,6,4603,1
星域传说2,专属作品,东方玄幻,12,12,7790,7790,0,0,12,7790,2
同轨世界,驻站作品,东方玄幻,11,11,5190,5190,0,0,11,5190,2
星空三界,签约作品,现代修真,443,16802,8412,58531,387,3554,42949,361190,106
从DNF走出的男人,驻站作品,异界大陆,7,7,6031,6031,0,0,7,6031,1
金河田,驻站作品,未来幻想,2,2,9230,40746,0,0,34,159557,3
百仙纪,驻站作品,古典仙侠,5,22,9610,32505,0,0,22,32505,1
都市之反派男神,签约作品,都市生活,341,2923,6155,92894,0,0,8183,269563,1
新农堰高坎,驻站作品,现实题材,13,46,40855,126209,0,0,46,125826,3
此刻：全球进入怪物纪元,签约作品,都市重生,21,53,801,24596,0,0,53,23007,目前在拼命写作中
缘分开的玩笑,签约作品,都市生活,22,62,12180,56548,1,1,72,57076,8
综穿之漫漫旅途,驻站作品,男生同人,94,614,16952,69837,0,0,19537,1023590,目前在拼命写作中
地球游戏：开局地狱难度,签约作品,恐怖悬疑,11,63,9059,32332,0,0,63,30010,13
川东刀王杀鬼子,驻站作品,战争幻想,8,38,4643,36771,0,0,335,262250,目前在拼命写作中
救赎大陆之幻灵之神,驻站作品,异界大陆,7,7,4146,4146,0,0,7,4190,1
最强皇帝：开局三张刮刮卡,签约作品,架空历史,35,246,10972,63760,2,123,246,63779,17
韩家赘婿,驻站作品,都市异能,17,17,12533,12533,0,0,17,12575,3
逆天邪尊系统,驻站作品,奇幻修真,12,30,18167,33789,0,0,30,33789,7
婿帝,签约作品,异界大陆,21,267,14150,99088,0,66,415,190772,55
命运的决判者,专属作品,男生同人,7,12,5268,11106,0,0,12,13629,目前在拼命写作中
血脉掌控者,驻站作品,古典仙侠,6,6,2601,2601,0,0,6,2601,目前在拼命写作中
星域传说初辰篇,驻站作品,异界大陆,20,172,6394,52739,0,6,295,76133,15
风雨斜,驻站作品,传统武侠,3,16,11091,25151,0,0,16,25263,9
无限空间之祖传反套路系统,驻站作品,异界大陆,69,69,54874,54874,0,0,69,62400,3
冷血神尊,驻站作品,东方玄幻,2,10,2052,4187,0,0,142,58752,目前在拼命写作中
大清隐龙,签约作品,历史穿越,4956,34828,20171,121487,4799,16039,1635499,10758154,1329
中年危机：男人崛起,签约作品,都市生活,15,65,28810,61560,0,0,65,61566,9
我有一个超级农场,签约作品,乡村乡土,159,989,3276,35633,1,1,1226,141919,目前在拼命写作中
乱世铠魂,驻站作品,洪荒封神,3,371,2644,33914,0,22,371,33925,目前在拼命写作中
暗夜雪豹,驻站作品,军旅生涯,8,53,4314,23645,0,0,64,31985,3
鬼生门,驻站作品,恐怖悬疑,0,0,726,726,0,0,0,726,目前在拼命写作中
帝尊大人,驻站作品,异界大陆,7,16,4094,9455,0,0,48,4090,4
系统让我拯救悲惨女主,签约作品,异界大陆,8,61,8347,56059,8,15,449,296492,129
坠苍穹,签约作品,异界大陆,58,450,12538,85552,43,302,13011,1312197,303
重生之龙腾校园,签约作品,都市生活,46,405,24036,180028,66,292,25202,1305731,197
江湖枭雄,签约作品,现实题材,8553,62039,40059,274359,2528,10382,474488,3646251,248
风雷神帝传,签约作品,东方玄幻,27,324,12269,83313,7,154,480981,2671659,57
第一至尊,签约作品,都市异能,185,1606,21078,143513,0,0,60226,1310484,55
最强小神农,签约作品,都市异能,38,289,22984,129095,0,0,5359,1031280,208
刑尸,驻站作品,恐怖悬疑,10,202,7946,50347,0,0,202,50347,24
诡星秘录,签约作品,探险揭秘,20,155,28209,215065,0,14,2011,921011,103
凡间仙帝,签约作品,现代修真,6,40,6921,55478,7,7,46,79694,1
我真不想当魔尊啊,签约作品,异世争霸,27,276,215,215,0,21,6832,653301,目前在拼命写作中
狐仙姐姐带我修行,驻站作品,现代修真,22,142,21225,131625,0,0,340,461080,91
踏碎宇宙,驻站作品,东方玄幻,6,11,105041,105041,0,0,495,388271,1
梦回山海游,驻站作品,东方玄幻,4,8,22686,67724,0,0,8,67724,6
莽天行,签约作品,异界大陆,28,483,8194,56310,6,20,1890,394589,84
滔滔郁江水,签约作品,乡村乡土,10,142,12566,114024,0,0,239,236786,28
斗战精英,签约作品,东方玄幻,2,32,6488,32543,0,0,3615,920022,目前在拼命写作中
绝地求生之全能战神,签约作品,电子竞技,750,1628,37409,258690,0,15,1858,369818,38
超神授记,授权作品,东方玄幻,3,32,14987,99251,0,0,56,126615,34
我在异界玩修仙,专属作品,东方玄幻,7,21,12943,40014,0,0,21,44538,8
我在异界玩修仙,专属作品,东方玄幻,7,21,12943,40014,0,0,21,44538,8
无罪1,驻站作品,男生同人,7,7,2521,2521,0,0,7,2521,1
天命神主,驻站作品,异世争霸,16,23,10818,10818,0,0,1869,185207,3
重生之绝世废少,签约作品,都市重生,903,7566,12952,113310,23,401,526755,3088198,235
三十不惑,签约作品,都市生活,90,686,6432,69607,0,42,5846,419783,目前在拼命写作中
山村小神农,签约作品,乡村乡土,747,8441,21722,169417,43,250,14954,519022,86
异界军工巨贾,签约作品,异界大陆,15,67,11499,77194,0,1,110,128518,35
从斗罗开始做任务,驻站作品,异界大陆,10,25,8510,8510,0,0,43,14903,目前在拼命写作中
我穿成了小说昏君大反派,签约作品,异世争霸,33,299,21192,155909,0,0,1430,278448,55
洪荒：我师兄是申公豹,签约作品,洪荒封神,12,82,22522,93198,0,1,82,93198,23
龙城秦皇,专属作品,异世争霸,5,34,8300,142950,0,0,34,79130,目前在拼命写作中
始皇长生诀1,驻站作品,东方玄幻,10,46,55865,108385,0,0,46,108385,10
冷血屠刀,专属作品,侦探推理,4,16,3647,8575,0,0,16,8575,目前在拼命写作中
好想在平庸的生活里拥抱你,驻站作品,现实题材,5,5,2034,2034,0,0,5,2034,目前在拼命写作中
我和女同事荒野求生的日子,签约作品,都市异能,724,11411,17335,120341,0,140,21673,403501,78
简一修仙传,驻站作品,古典仙侠,2,2,20264,20264,0,0,2,20264,目前在拼命写作中
霸婿崛起,签约作品,都市生活,19212,145821,24911,182962,3983,22486,1906053,2214918,262
仙途之战,驻站作品,东方玄幻,13,13,30896,30896,0,0,13,30896,2
火影：我把技能点到爆,签约作品,男生同人,252,836,14392,166860,14,14,1626,342931,2
鸿宇苍黄,驻站作品,东方玄幻,4,29,6995,40059,0,0,76,203271,1
求索仙途,驻站作品,奇幻修真,8,8,12697,12697,0,0,8,12697,2
都是都市夜归人,驻站作品,都市异能,4,20,32619,165586,0,0,20,165586,目前在拼命写作中
神座之王,驻站作品,古典仙侠,10,10,57707,57707,0,0,10,57707,3
